kernel32-amd64-6.1.7601.23677.dll: PE32+ executable (DLL) (console) x86_64 (Fri Feb 10 00:34:46 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0001   0x0000   0x000a95ee AcquireSRWLockExclusive
    0x0002   0x0001   0x000a960f AcquireSRWLockShared
    0x0003   0x0002   0x00003080 ActivateActCtx
    0x0004   0x0003   0x00065fa0 AddAtomA
    0x0005   0x0004   0x00065f40 AddAtomW
    0x0006   0x0005   0x0006a260 AddConsoleAliasA
    0x0007   0x0006   0x0006a2d0 AddConsoleAliasW
    0x0008   0x0007   0x000a962d AddDllDirectory
    0x0009   0x0008   0x0004ab50 AddIntegrityLabelToBoundaryDescriptor
    0x000a   0x0009   0x00094c60 AddLocalAlternateComputerNameA
    0x000b   0x000a   0x0008f0b0 AddLocalAlternateComputerNameW
    0x000c   0x000b   0x00047f90 AddRefActCtx
    0x000d   0x000c   0x0004ab80 AddSIDToBoundaryDescriptor
    0x000e   0x000d   0x0004da80 AddSecureMemoryCacheCallback
    0x000f   0x000e   0x000a9662 AddVectoredContinueHandler
    0x0010   0x000f   0x000a9686 AddVectoredExceptionHandler
    0x0011   0x0010   0x000962d0 AdjustCalendarDate
    0x0012   0x0011   0x000850b0 AllocConsole
    0x0013   0x0012   0x00047490 AllocateUserPhysicalPages
    0x0014   0x0013   0x0005a8c0 AllocateUserPhysicalPagesNuma
    0x0015   0x0014   0x0007ea40 ApplicationRecoveryFinished
    0x0016   0x0015   0x00086780 ApplicationRecoveryInProgress
    0x0017   0x0016   0x0004be70 AreFileApisANSI
    0x0018   0x0017   0x00008d50 AssignProcessToJobObject
    0x0019   0x0018   0x00084fc0 AttachConsole
    0x001a   0x0019   0x0008f530 BackupRead
    0x001b   0x001a   0x000772f0 BackupSeek
    0x001c   0x001b   0x0008f230 BackupWrite
    0x001d   0x001c   0x00086790 BaseCheckAppcompatCache
    0x001e   0x001d   0x0002f020 BaseCheckAppcompatCacheEx
    0x001f   0x001e   0x00004b80 BaseCheckRunApp
    0x0020   0x001f   0x00047d00 BaseCleanupAppcompatCacheSupport
    0x0021   0x0020   0x000057b0 BaseDllReadWriteIniFile
    0x0022   0x0021   0x00047bc0 BaseDumpAppcompatCache
    0x0023   0x0022   0x0006ee70 BaseFlushAppcompatCache
    0x0024   0x0023   0x00001610 BaseFormatObjectAttributes
    0x0025   0x0024   0x000423c0 BaseFormatTimeOut
    0x0026   0x0025   0x0002f1f0 BaseGenerateAppCompatData
    0x0027   0x0026   0x000566b0 BaseGetNamedObjectDirectory
    0x0028   0x0027   0x0006f010 BaseInitAppcompatCacheSupport
    0x0029   0x0028   0x0001f490 BaseIsAppcompatInfrastructureDisabled
    0x002a   0x0029   0x00086850 BaseQueryModuleData
    0x002b   0x002a   0x00020e20 BaseSetLastNTError
    0x002c   0x002b   0x00014dc0 BaseThreadInitThunk
    0x002d   0x002c   0x0005ab50 BaseUpdateAppcompatCache
    0x002e   0x002d   0x00042300 BaseVerifyUnicodeString
    0x002f   0x002e   0x00015a60 Basep8BitStringToDynamicUnicodeString
    0x0030   0x002f   0x00056540 BasepAllocateActivationContextActivationBlock
    0x0031   0x0030   0x00042360 BasepAnsiStringToDynamicUnicodeString
    0x0032   0x0031   0x000883f0 BasepCheckAppCompat
    0x0033   0x0032   0x0001c210 BasepCheckBadapp
    0x0034   0x0033   0x0001e890 BasepCheckWinSaferRestrictions
    0x0035   0x0034   0x000564f0 BasepFreeActivationContextActivationBlock
    0x0036   0x0035   0x0002eb40 BasepFreeAppCompatData
    0x0037   0x0036   0x00003440 BasepMapModuleHandle
    0x0038   0x0037   0x00066f10 Beep
