kernel32-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0001   0x0000   0x00009ad4 ActivateActCtx
    0x0002   0x0001   0x00034905 AddAtomA
    0x0003   0x0002   0x00031ad9 AddAtomW
    0x0004   0x0003   0x000710df AddConsoleAliasA
    0x0005   0x0004   0x000710a1 AddConsoleAliasW
    0x0006   0x0005   0x00058782 AddLocalAlternateComputerNameA
    0x0007   0x0006   0x00058666 AddLocalAlternateComputerNameW
    0x0008   0x0007   0x0002b2f9 AddRefActCtx
    0x0009   0x0008   0x000083f5 AddVectoredExceptionHandler
    0x000a   0x0009   0x00071731 AllocConsole
    0x000b   0x000a   0x0005ea1a AllocateUserPhysicalPages
    0x000c   0x000b   0x00034d67 AreFileApisANSI
    0x000d   0x000c   0x0002d842 AssignProcessToJobObject
    0x000e   0x000d   0x00071919 AttachConsole
    0x000f   0x000e   0x000565ca BackupRead
    0x0010   0x000f   0x000556b0 BackupSeek
    0x0011   0x0010   0x00056c25 BackupWrite
    0x0012   0x0011   0x00015c67 BaseCheckAppcompatCache
    0x0013   0x0012   0x0006c1e6 BaseCleanupAppcompatCache
    0x0014   0x0013   0x0006c26a BaseCleanupAppcompatCacheSupport
    0x0015   0x0014   0x0006c0a1 BaseDumpAppcompatCache
    0x0016   0x0015   0x0006c01f BaseFlushAppcompatCache
    0x0017   0x0016   0x0001595d BaseInitAppcompatCache
    0x0018   0x0017   0x0002a775 BaseInitAppcompatCacheSupport
    0x0019   0x0018   0x000168d3 BaseProcessInitPostImport
    0x001a   0x0019   0x00037772 BaseQueryModuleData
    0x001b   0x001a   0x000145b0 BaseUpdateAppcompatCache
    0x001c   0x001b   0x000189a3 BasepCheckWinSaferRestrictions
    0x001d   0x001c   0x00036e8f Beep
    0x001e   0x001d   0x0007009b BeginUpdateResourceA
    0x001f   0x001e   0x0006fef8 BeginUpdateResourceW
    0x0020   0x001f   0x0002b424 BindIoCompletionCallback
    0x0021   0x0020   0x0006b2cd BuildCommDCBA
    0x0022   0x0021   0x0006b29f BuildCommDCBAndTimeoutsA
    0x0023   0x0022   0x0006b2ff BuildCommDCBAndTimeoutsW
    0x0024   0x0023   0x0006b359 BuildCommDCBW
    0x0025   0x0024   0x000600d6 CallNamedPipeA
    0x0026   0x0025   0x0005fe87 CallNamedPipeW
    0x0027   0x0026   0x00060e9f CancelDeviceWakeupRequest
    0x0028   0x0027   0x0002f4ca CancelIo
    0x0029   0x0028   0x000631f8 CancelTimerQueueTimer
    0x002a   0x0029   0x0002c001 CancelWaitableTimer
    0x002b   0x002a   0x00011bb3 ChangeTimerQueueTimer
