kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0001   0x002b   0x00013358 BaseThreadInitThunk
    0x0002   0x02f3   0x000ca642 InterlockedPushListSList
    0x0003   0x0000   0x000ca0c3 AcquireSRWLockExclusive
    0x0004   0x0001   0x000ca0e4 AcquireSRWLockShared
    0x0005   0x0002   0x00015430 ActivateActCtx
    0x0006   0x0003   0x0002ed56 AddAtomA
    0x0007   0x0004   0x0002cdec AddAtomW
    0x0008   0x0005   0x000b6d26 AddConsoleAliasA
    0x0009   0x0006   0x000b6cbc AddConsoleAliasW
    0x000a   0x0007   0x000ca102 AddDllDirectory
    0x000b   0x0008   0x00095042 AddIntegrityLabelToBoundaryDescriptor
    0x000c   0x0009   0x00087660 AddLocalAlternateComputerNameA
    0x000d   0x000a   0x00087575 AddLocalAlternateComputerNameW
    0x000e   0x000b   0x0002d528 AddRefActCtx
    0x000f   0x000c   0x00039177 AddSIDToBoundaryDescriptor
    0x0010   0x000d   0x0008f640 AddSecureMemoryCacheCallback
    0x0011   0x000e   0x000ca137 AddVectoredContinueHandler
    0x0012   0x000f   0x000ca15b AddVectoredExceptionHandler
    0x0013   0x0010   0x000a55fa AdjustCalendarDate
    0x0014   0x0011   0x000b730e AllocConsole
    0x0015   0x0012   0x0009eb7c AllocateUserPhysicalPages
    0x0016   0x0013   0x0009ebaa AllocateUserPhysicalPagesNuma
    0x0017   0x0014   0x0009e7a6 ApplicationRecoveryFinished
    0x0018   0x0015   0x0009e7b6 ApplicationRecoveryInProgress
    0x0019   0x0016   0x00094851 AreFileApisANSI
    0x001a   0x0017   0x0003c892 AssignProcessToJobObject
    0x001b   0x0018   0x000b73d2 AttachConsole
    0x001c   0x0019   0x00084f98 BackupRead
    0x001d   0x001a   0x00083f1e BackupSeek
    0x001e   0x001b   0x00085652 BackupWrite
    0x001f   0x001c   0x0009e475 BaseCheckAppcompatCache
    0x0020   0x001d   0x0002222e BaseCheckAppcompatCacheEx
    0x0021   0x001e   0x00029dab BaseCheckRunApp
    0x0022   0x001f   0x0009e41f BaseCleanupAppcompatCacheSupport
    0x0023   0x0020   0x0001e509 BaseDllReadWriteIniFile
    0x0024   0x0021   0x0009e442 BaseDumpAppcompatCache
    0x0025   0x0022   0x0009e452 BaseFlushAppcompatCache
    0x0026   0x0023   0x00021240 BaseFormatObjectAttributes
    0x0027   0x0024   0x0002f972 BaseFormatTimeOut
    0x0028   0x0025   0x0002371f BaseGenerateAppCompatData
    0x0029   0x0026   0x000b5445 BaseGetNamedObjectDirectory
    0x002a   0x0027   0x0009e629 BaseInitAppcompatCacheSupport
    0x002b   0x0028   0x00020dcb BaseIsAppcompatInfrastructureDisabled
    0x002c   0x0029   0x000356a2 BaseQueryModuleData
    0x002d   0x002a   0x00011638 BaseSetLastNTError
    0x002e   0x002c   0x00035688 BaseUpdateAppcompatCache
    0x002f   0x002d   0x000b53e1 BaseVerifyUnicodeString
    0x0030   0x002e   0x0001490a Basep8BitStringToDynamicUnicodeString
    0x0031   0x002f   0x000b55d1 BasepAllocateActivationContextActivationBlock
    0x0032   0x0030   0x000b51f6 BasepAnsiStringToDynamicUnicodeString
    0x0033   0x0031   0x0008b062 BasepCheckAppCompat
    0x0034   0x0032   0x00022f21 BasepCheckBadapp
    0x0035   0x0033   0x000252e1 BasepCheckWinSaferRestrictions
    0x0036   0x0034   0x000b574b BasepFreeActivationContextActivationBlock
    0x0037   0x0035   0x00024d01 BasepFreeAppCompatData
    0x0038   0x0036   0x0002e83e BasepMapModuleHandle
    0x0039   0x0037   0x000858ea Beep
    0x003a   0x0038   0x000a46f9 BeginUpdateResourceA
    0x003b   0x0039   0x000a452c BeginUpdateResourceW
    0x003c   0x003a   0x0002d8e6 BindIoCompletionCallback
    0x003d   0x003b   0x0009d7b6 BuildCommDCBA
    0x003e   0x003c   0x0009d787 BuildCommDCBAndTimeoutsA
    0x003f   0x003d   0x0009d7e9 BuildCommDCBAndTimeoutsW
    0x0040   0x003e   0x0009d843 BuildCommDCBW
    0x0041   0x003f   0x00092584 CallNamedPipeA
    0x0042   0x0040   0x00092138 CallNamedPipeW
    0x0043   0x0041   0x0002cf77 CallbackMayRunLong
    0x0044   0x0042   0x00093150 CancelDeviceWakeupRequest
    0x0045   0x0043   0x0008c2f9 CancelIo
    0x0046   0x0044   0x0002efa4 CancelIoEx
    0x0047   0x0045   0x0008c2c9 CancelSynchronousIo
    0x0048   0x0046   0x000ca180 CancelThreadpoolIo
    0x0049   0x0047   0x0009eed8 CancelTimerQueueTimer
    0x004a   0x0048   0x0009485b CancelWaitableTimer
    0x004b   0x0049   0x0009486b ChangeTimerQueueTimer
    0x004c   0x004a   0x0008b3f5 CheckElevation
    0x004d   0x004b   0x00023126 CheckElevationEnabled
    0x004e   0x004c   0x00037926 CheckForReadOnlyResource
    0x004f   0x004d   0x00092ee1 CheckNameLegalDOS8Dot3A
    0x0050   0x004e   0x00092a83 CheckNameLegalDOS8Dot3W
    0x0051   0x004f   0x0003b0f6 CheckRemoteDebuggerPresent
    0x0052   0x0050   0x00098829 ClearCommBreak
    0x0053   0x0051   0x0009703f ClearCommError
    0x0054   0x0052   0x000b7edb CloseConsoleHandle
    0x0055   0x0053   0x000113e0 CloseHandle
    0x0056   0x0054   0x00030943 ClosePrivateNamespace
    0x0057   0x0055   0x000b11a6 CloseProfileUserMapping
    0x0058   0x0056   0x000ca19f CloseThreadpool
    0x0059   0x0057   0x000ca1b3 CloseThreadpoolCleanupGroup
    0x005a   0x0058   0x000ca1cf CloseThreadpoolCleanupGroupMembers
    0x005b   0x0059   0x000ca1f2 CloseThreadpoolIo
    0x005c   0x005a   0x000ca20e CloseThreadpoolTimer
    0x005d   0x005b   0x000ca223 CloseThreadpoolWait
