ntdll-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export ntdll.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0001   0x016f   0x000572fb PropertyLengthAsVariant
    0x0002   0x01b8   0x00057263 RtlConvertPropertyToVariant
    0x0003   0x01be   0x000571c5 RtlConvertVariantToProperty
    0x0004   0x028e   0x00001ed0 RtlInterlockedPushListSList
    0x0005   0x0340   0x00001f30 RtlUlongByteSwap
    0x0006   0x0341   0x00001f40 RtlUlonglongByteSwap
    0x0007   0x035f   0x00001f20 RtlUshortByteSwap
    0x0008   0x0000   0x0001df58 CsrAllocateCaptureBuffer
    0x0009   0x0001   0x0001dfb9 CsrAllocateMessagePointer
    0x000a   0x0002   0x0001d7af CsrCaptureMessageBuffer
    0x000b   0x0003   0x0001fa2d CsrCaptureMessageMultiUnicodeStringsInPlace
    0x000c   0x0004   0x0001faee CsrCaptureMessageString
    0x000d   0x0005   0x0004f23a CsrCaptureTimeout
    0x000e   0x0006   0x00012171 CsrClientCallServer
    0x000f   0x0007   0x000205e7 CsrClientConnectToServer
    0x0010   0x0008   0x0001deff CsrFreeCaptureBuffer
    0x0011   0x0009   0x0004f22f CsrGetProcessId
    0x0012   0x000a   0x0004f1aa CsrIdentifyAlertableThread
    0x0013   0x000b   0x0001a48a CsrNewThread
    0x0014   0x000c   0x0004f2bb CsrProbeForRead
    0x0015   0x000d   0x0004f26d CsrProbeForWrite
    0x0016   0x000e   0x0004f1e6 CsrSetPriorityClass
    0x0017   0x000f   0x0000060e DbgBreakPoint
    0x0018   0x0010   0x0002ef3f DbgPrint
    0x0019   0x0011   0x0001ded5 DbgPrintEx
    0x001a   0x0012   0x00057482 DbgPrintReturnControlC
    0x001b   0x0013   0x00057571 DbgPrompt
    0x001c   0x0014   0x000575b7 DbgQueryDebugFilterState
    0x001d   0x0015   0x000575c7 DbgSetDebugFilterState
    0x001e   0x0016   0x0004f2f1 DbgUiConnectToDbg
    0x001f   0x0017   0x0004f39c DbgUiContinue
    0x0020   0x0018   0x0004f4c4 DbgUiConvertStateChangeStructure
    0x0021   0x0019   0x0004f482 DbgUiDebugActiveProcess
    0x0022   0x001a   0x0004f346 DbgUiGetThreadDebugObject
    0x0023   0x001b   0x0004f441 DbgUiIssueRemoteBreakin
